iter	Passed	Remaining
510	700	670
511	701	668
512	703	667
513	704	665
514	705	664
515	706	662
516	707	661
517	709	660
518	710	658
519	711	657
520	713	655
521	714	654
522	715	652
523	716	651
524	717	649
525	719	648
526	720	646
527	721	645
528	723	643
529	724	642
530	725	640
531	726	639
532	727	637
533	729	636
534	730	634
535	731	633
536	732	631
537	734	630
538	735	628
539	736	627
540	737	625
541	739	624
542	740	623
543	741	621
544	742	620
545	743	618
546	745	617
547	746	615
548	747	614
549	749	612
550	750	611
551	751	609
552	753	608
553	754	607
554	755	605
555	756	604
556	757	602
557	759	601
558	760	599
559	761	598
560	762	596
561	764	595
562	765	594
563	766	592
564	768	591
565	769	589
566	770	588
567	771	587
568	773	585
569	774	584
570	775	582
571	776	581
572	778	579
573	779	578
574	780	576
575	781	575
576	783	574
577	784	572
578	785	571
579	786	569
580	788	568
581	789	567
582	791	565
583	792	564
584	793	562
585	794	561
586	797	561
587	798	559
588	800	558
589	801	556
590	802	555
591	803	553
592	804	552
593	806	551
594	807	549
595	809	548
596	810	547
597	812	545
598	813	544
599	814	543
600	816	542
601	817	540
602	818	539
603	820	537
604	822	536
605	823	535
606	824	533
607	825	532
608	826	530
609	828	529
610	829	528
611	830	526
612	831	525
613	833	523
614	834	522
615	835	520
616	836	519
617	838	518
618	839	516
619	840	515
620	841	513
621	843	512
622	844	510
623	845	509
624	846	508
625	848	506
626	849	505
627	850	503
628	851	502
629	852	500
630	853	499
631	854	497
632	855	496
633	857	494
634	858	493
635	859	492
636	860	490
637	862	489
638	863	487
639	864	486
640	866	485
641	867	483
642	868	482
643	870	480
644	871	479
645	872	478
646	873	476
647	875	475
648	876	474
649	878	473
650	879	471
651	881	470
652	882	469
653	884	467
654	885	466
655	887	465
656	888	463
657	889	462
658	891	461
659	892	459
660	893	458
661	895	456
662	896	455
663	898	454
664	899	452
665	900	451
666	901	450
667	903	448
668	904	447
669	905	446
670	906	444
671	908	443
672	909	442
673	911	440
674	912	439
675	914	438
676	915	436
677	917	435
678	918	434
679	919	432
680	921	431
681	923	430
682	924	429
683	925	427
684	927	426
685	929	425
686	930	424
687	932	422
688	934	421
689	935	420
690	937	419
691	938	417
692	939	416
693	941	415
694	942	413
695	943	412
696	945	410
697	946	409
698	947	408
699	949	406
700	950	405
701	951	404
702	953	402
703	954	401
704	955	399
705	956	398
706	958	397
707	959	395
708	960	394
709	961	392
710	963	391
711	964	390
712	965	388
713	967	387
714	968	385
715	969	384
716	971	383
717	972	381
718	973	380
719	974	379
720	976	377
721	978	376
722	979	375
723	981	374
724	982	372
725	984	371
726	985	370
727	986	368
728	987	367
729	989	365
730	990	364
731	992	363
732	993	361
733	994	360
734	996	359
735	997	357
736	998	356
737	1000	355
738	1001	353
739	1003	352
740	1004	351
741	1005	349
742	1006	348
743	1008	346
744	1010	345
745	1011	344
746	1012	342
747	1014	341
748	1015	340
749	1016	338
750	1017	337
751	1019	336
752	1020	334
753	1022	333
754	1023	332
755	1024	330
756	1026	329
757	1028	328
758	1029	326
759	1030	325
760	1032	324
761	1035	323
762	1037	322
763	1038	320
764	1040	319
765	1041	318
766	1043	316
767	1044	315
768	1045	314
769	1047	312
770	1048	311
771	1049	310
772	1051	308
773	1052	307
774	1054	306
775	1055	304
776	1056	303
777	1057	301
778	1058	300
779	1060	299
780	1061	297
781	1062	296
782	1064	294
783	1065	293
784	1066	292
785	1068	290
786	1069	289
787	1070	288
788	1072	286
789	1073	285
790	1074	283
791	1076	282
792	1077	281
793	1078	279
794	1080	278
795	1081	277
796	1082	275
797	1085	274
798	1086	273
799	1087	271
800	1089	270
801	1090	269
802	1091	267
803	1093	266
804	1094	265
805	1095	263
806	1097	262
807	1098	261
808	1099	259
809	1101	258
810	1102	256
811	1104	255
812	1105	254
813	1106	252
814	1107	251
815	1109	250
816	1110	248
817	1111	247
818	1112	245
819	1114	244
820	1115	243
821	1117	241
822	1118	240
823	1119	239
824	1121	237
825	1122	236
826	1123	235
827	1124	233
828	1126	232
829	1127	230
830	1129	229
831	1130	228
832	1131	226
833	1132	225
834	1134	224
835	1135	222
836	1136	221
837	1137	219
838	1139	218
839	1140	217
840	1141	215
841	1143	214
842	1144	213
843	1145	211
844	1147	210
845	1148	209
846	1149	207
847	1150	206
848	1152	205
849	1154	203
850	1155	202
851	1157	201
852	1158	199
853	1160	198
854	1161	197
855	1163	195
856	1164	194
857	1166	192
858	1167	191
859	1168	190
860	1169	188
861	1171	187
862	1172	186
863	1173	184
864	1174	183
865	1176	181
866	1177	180
867	1178	179
868	1180	177
869	1181	176
870	1182	175
871	1183	173
872	1185	172
873	1186	171
874	1187	169
875	1189	168
876	1190	166
877	1191	165
878	1192	164
879	1194	162
880	1195	161
881	1196	160
882	1198	158
883	1199	157
884	1200	155
885	1201	154
886	1203	153
887	1204	151
888	1205	150
889	1206	149
890	1207	147
891	1209	146
892	1210	145
893	1211	143
894	1213	142
895	1214	140
896	1215	139
897	1216	138
898	1218	136
899	1219	135
900	1220	134
901	1222	132
902	1223	131
903	1224	130
904	1226	128
905	1227	127
906	1228	126
907	1230	124
908	1231	123
909	1232	121
910	1234	120
911	1236	119
912	1237	117
913	1238	116
914	1240	115
915	1242	113
916	1243	112
917	1244	111
918	1245	109
919	1247	108
920	1248	107
921	1249	105
922	1251	104
923	1252	103
924	1253	101
925	1255	100
926	1256	98
927	1257	97
928	1259	96
929	1260	94
930	1261	93
931	1262	92
932	1264	90
933	1265	89
934	1266	88
935	1268	86
936	1269	85
937	1270	83
938	1272	82
939	1273	81
940	1274	79
941	1275	78
942	1277	77
943	1279	75
944	1280	74
945	1281	73
946	1282	71
947	1284	70
948	1285	69
949	1286	67
950	1288	66
951	1289	65
952	1291	63
953	1292	62
954	1293	60
955	1295	59
956	1296	58
957	1297	56
958	1299	55
959	1300	54
960	1301	52
961	1302	51
962	1303	50
963	1305	48
964	1306	47
965	1307	46
966	1309	44
967	1310	43
968	1311	41
969	1312	40
970	1314	39
971	1315	37
972	1316	36
973	1317	35
974	1319	33
975	1321	32
976	1322	31
977	1323	29
978	1324	28
979	1326	27
980	1327	25
981	1328	24
982	1329	23
983	1331	21
984	1332	20
985	1333	18
986	1335	17
987	1336	16
988	1337	14
989	1338	13
990	1340	12
991	1341	10
992	1342	9
993	1343	8
994	1345	6
995	1346	5
996	1348	4
997	1349	2
998	1350	1
999	1352	0
