iter	RMSE
0	14.49761281
1	14.48031114
2	14.46307578
3	14.44464521
4	14.4209883
5	14.38131621
6	14.35776377
7	14.32448991
8	14.30756106
9	14.2851019
10	14.25084454
11	14.23401907
12	14.22240632
13	14.2004862
14	14.1733353
15	14.14984787
16	14.1270591
17	14.10889094
18	14.09129381
19	14.06849448
20	14.04634423
21	14.03259838
22	14.01719087
23	13.98932798
24	13.95883282
25	13.94445161
26	13.92404826
27	13.91653411
28	13.90028051
29	13.88583655
30	13.86267336
31	13.8514934
32	13.83768894
33	13.81838853
34	13.81264292
35	13.79548552
36	13.77325295
37	13.75020627
38	13.73229585
39	13.72592296
40	13.71046355
41	13.68964514
42	13.68005519
43	13.66224901
44	13.6397277
45	13.62621586
46	13.61113358
47	13.58930781
48	13.57500237
49	13.56229418
50	13.54033007
51	13.53092925
52	13.5204887
53	13.49924414
54	13.48073827
55	13.46933926
56	13.4542409
57	13.43895801
58	13.42403628
59	13.40388185
60	13.39576714
61	13.37463453
62	13.36272382
63	13.34448619
64	13.33318297
65	13.31976769
66	13.30089001
67	13.27970273
68	13.26740513
69	13.24423604
70	13.22757867
71	13.21008909
72	13.18669544
73	13.16983819
74	13.15213063
75	13.14158873
76	13.11715255
77	13.10689846
78	13.09753305
79	13.09193311
80	13.08635302
81	13.08188409
82	13.05956218
83	13.04520409
84	13.03306733
85	13.01923562
86	13.00408857
87	12.98476238
88	12.9815569
89	12.96524519
90	12.95555396
91	12.94507166
92	12.93563543
93	12.92978259
94	12.91731299
95	12.904248
96	12.89331413
97	12.89323328
98	12.88522945
99	12.87266451
100	12.85651416
101	12.8485242
102	12.83347946
103	12.82287603
104	12.81599829
105	12.80363654
106	12.79294005
107	12.78299985
108	12.77010145
109	12.75990789
110	12.73508797
111	12.71484361
112	12.7077903
113	12.69062989
114	12.68043959
115	12.66771346
116	12.65869266
117	12.65018384
118	12.64684202
119	12.6331281
120	12.62724513
121	12.60772762
122	12.59686707
123	12.58654739
124	12.57623699
125	12.56186786
126	12.55202965
127	12.53899488
128	12.52389738
129	12.51000064
130	12.49315628
131	12.48265677
132	12.47246454
133	12.46442374
134	12.45039854
135	12.43606007
136	12.41833785
137	12.4068426
138	12.38812709
139	12.37658144
140	12.36804737
141	12.35861226
142	12.34862449
143	12.34111035
144	12.33413017
145	12.31728183
146	12.30606386
147	12.29825147
148	12.28776399
149	12.28072148
150	12.27199565
151	12.26371688
152	12.25043219
153	12.24153635
154	12.23971261
155	12.22962631
156	12.22042496
157	12.21049165
158	12.19280136
159	12.18345463
160	12.17535273
161	12.16710417
162	12.15509213
163	12.15063967
164	12.13204812
165	12.12788184
166	12.1208847
167	12.1120662
168	12.10167273
